Product_ID,Product_Name,Category,Subcategory,Brand,Supplier,Unit_Price,Cost_Price,Stock_Qty,Reorder_Level,Rating,Launch_Date,Status,Percentage
P1001,iPhone 15,Electronics,Smartphone,Apple,TechWorld Pvt Ltd,79999,72000,45,10,4.8,01-10-2023,Active,
P1002,Galaxy S24,Electronics,Smartphone,Samsung,MobileHub Distributors,74999,69000,50,12,4.7,20-01-2024,Active,
P1003,Dell Inspiron 15,Electronics,Laptop,Dell,ITSource India,58999,52000,30,8,4.5,15-08-2023,Active,
P1004,HP Pavilion x360,Electronics,Laptop,HP,ITSource India,62999,56000,25,6,4.4,10-09-2023,Active,
P1005,Sony WH-1000XM5,Electronics,Headphones,Sony,AudioMax Traders,24999,21000,60,15,4.6,18-05-2023,Active,
P1006,Logitech MX Master 3,Electronics,Mouse,Logitech,Peripheral Supply Co,7999,6200,80,20,4.7,11-11-2022,Active,
P1007,Nike Air Max,Fashion,Footwear,Nike,StyleWear Pvt Ltd,9999,7500,100,25,4.5,05-03-2023,Active,
P1008,Adidas Ultraboost,Fashion,Footwear,Adidas,StyleWear Pvt Ltd,11999,9000,75,20,4.6,12-04-2023,Active,
P1009,Levi’s 511 Jeans,Fashion,Apparel,Levi’s,DenimHouse Suppliers,3499,2200,120,30,4.4,01-12-2022,Active,
P1010,Samsung 55” QLED TV,Electronics,Television,Samsung,VisionElectro Ltd,64999,58000,20,5,4.7,20-07-2023,Active,
P1011,LG Double Door Refrigerator,Appliances,Refrigerator,LG,HomeNeeds Distribution,45999,40000,18,4,4.6,15-02-2023,Active,
P1012,Whirlpool Washing Machine,Appliances,Washing Machine,Whirlpool,HomeNeeds Distribution,32999,29000,22,5,4.5,25-10-2022,Active,
P1013,Prestige Induction Cooktop,Appliances,Kitchen Appliance,Prestige,KitchenMart Suppliers,3499,2600,70,15,4.3,10-08-2022,Active,
P1014,Milton Water Bottle,Home & Kitchen,Kitchenware,Milton,KitchenMart Suppliers,599,350,200,50,4.2,18-06-2021,Active,
P1015,Boat Rockerz 255,Electronics,Earphones,Boat,AudioMax Traders,1499,900,150,40,4.1,12-03-2022,Active,
P1016,Canon EOS 1500D,Electronics,Camera,Canon,CamZone India,38999,34000,12,3,4.6,28-05-2022,Active,
P1017,Puma Sports T-Shirt,Fashion,Apparel,Puma,StyleWear Pvt Ltd,1299,800,140,35,4.3,17-01-2023,Active,
P1018,Apple iPad 10th Gen,Electronics,Tablet,Apple,TechWorld Pvt Ltd,44999,41000,28,7,4.8,20-10-2023,Active,
P1019,Asus ROG Strix,Electronics,Laptop,Asus,ITSource India,89999,82000,10,3,4.7,10-02-2024,Active,
P1020,JBL Flip 6,Electronics,Speaker,JBL,AudioMax Traders,9999,7800,55,12,4.6,30-06-2023,Active,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,price range,discount,,,,,,,
,,,,,5000,7%,,,,,,,
,,,,,25000,15%,,,,,,,
,,,,,10000000000,16%,,,,,,,
